0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:36 -0700] "GET /project1/ HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:36 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:36 -0700] "GET /project1/index.js HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:36 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [06/Jun/2018:12:48:59 -0700] "POST /manager/html/undeploy?path=/project1&org.apache.catalina.filters.CSRF_NONCE=289D2868DD919FEC8627F2B24C3F6346 HTTP/1.1" 200 17673
0:0:0:0:0:0:0:1 - admin [06/Jun/2018:12:49:04 -0700] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=74D58DA2AB3C686BA4AAB117D89AF3A5 HTTP/1.1" 200 19405
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:06 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:06 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:07 -0700] "GET /project1/login.html HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:07 -0700] "GET /project1/login.js HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:07 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:07 -0700] "GET /project1/movies.jpg HTTP/1.1" 200 419397
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:22 -0700] "POST /project1/api/login HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:22 -0700] "GET /project1/index.html HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:23 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:23 -0700] "GET /project1/index.js HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:23 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:26 -0700] "GET /project1/movieSuggestion?query=hul HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:27 -0700] "GET /project1/form?title=Huli%20sa%20akto&year=2001&director=Francis%20Posadas&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7701
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:27 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:27 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:29 -0700] "GET /project1/form?title=Huli%20sa%20akto&year=2001&director=Francis%20Posadas&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7701
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:29 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:29 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:29 -0700] "GET /project1/star?title=&year=&director=&star=Allona%20Amor&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 5638
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:29 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:31 -0700] "GET /project1/form?title=Virgin%20People%20III&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7405
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:31 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:31 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:32 -0700] "GET /project1/star?title=&year=&director=&star=Ron%20Bryant&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:32 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:34 -0700] "GET /project1/form?title=Virgin%20People%20III&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7405
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:34 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:34 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:35 -0700] "GET /project1/searching HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:35 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:35 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:37 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:37 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:53 -0700] "GET /project1/ HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:53 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:53 -0700] "GET /project1/index.js HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:49:54 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
